30300001,1,5,8002736,8002737,8007228
30300002,2,1,8001783,8001782,9002254
30300003,3,5,8005970,8005970,8070009
30300004,5,5,8001783,8001783,8005825
30300005,11,4,8002077,9002077,9002273
30300006,21,4,8001956,8003105,8007438
30300010,25,4,8001956,8003105,8001769
30300011,26,4,8001956,8003105,8002842
30300036,101,2,8002170,8070035,9001365
30300037,102,2,8002077,9002077,8005504
30300038,103,2,8002077,9002077,9001553
30300039,104,2,8002077,9002077,8005594
30300040,105,2,8002736,8002737,9001891
30300041,106,2,8001641,9001641,9001803
30300042,107,2,8005621,8001413,8005104
30300043,108,2,8002737,8002736,9005538
30300045,113,2,8001956,8003105,9003074
30300046,114,2,8002355,8007263,8007019
30300047,115,2,8007040,8007157,8002736
30300048,116,2,8002170,8070035,9002381
30300049,119,2,8002170,8070035,8003016
30300050,121,2,8002765,8002769,9001318
30300051,201,2,8002355,8007263,9007010
30300052,202,2,9005548,8002040,9005188
30300053,211,2,9005978,8001578,9005583
30300054,301,2,8001783,8001783,8007040
30300055,311,2,8007174,9007174,8007040
30300056,312,2,8001641,9001641,8001812
30300057,313,2,8001545,8001880,8001812
30300058,314,2,8007040,8007041,9001553
30300059,315,2,8007040,8007041,9002968
30300060,316,2,8001455,8003108,8002937
30300061,317,2,8005621,8003054,8005504
30300062,318,2,8007040,8007041,9001318
30300063,501,2,8001803,8001801,8005912
30300064,511,2,8003109,8005538,8002651
30300065,512,2,8001455,8003108,8007333
30300066,513,2,8003109,8005538,8002937
30300067,514,2,8003109,8005538,8005908
30300068,601,2,8001803,8001801,8007267
30300069,602,2,8001803,8001801,9002381
30300070,603,2,8001641,9001641,8001384
30300071,604,2,8001545,8007173,8002745
30300072,605,2,8005988,8005989,9001059
30300073,606,2,8001545,8007173,8002745
30300074,607,2,8001803,8007172,8005029
30300075,611,2,8007174,9007174,8005884
30300076,612,2,8001545,8007173,8007074
30300077,613,2,8001803,8001801,8001059
30300078,614,2,8001455,8003108,9002200
30300079,615,2,8001455,8003108,8007195
30300080,616,2,8005621,8003054,8005504
30300081,617,2,8001803,8001801,8005919
30300082,618,2,8001545,8007173,8005925
30300083,619,2,8001545,8007173,9001932
30300084,620,2,8003109,8005538,8001455
30300086,701,2,8002765,8005955,8001376
30300087,703,2,8005503,9005503,8007195
30300088,704,2,8002355,8007263,9001753
30300089,705,2,8005503,9005503,8005504
30300090,706,2,9001455,8002465,8001641
30300091,711,2,8005503,9005503,8005504
30300092,712,2,8002765,8002769,8005616
30300093,802,2,8001783,9001783,8007005
30300094,911,2,8002736,8002737,8005925
30300095,916,2,8001956,8003105,9001595
30300096,918,2,8002765,8002765,9002090
30300097,33,4,8005621,8005621,8005529
30300099,73,4,8001223,8001337,8001446
30300100,1,1,8002355,8007263,8002114
30300101,216,2,8002355,8007263,9002089
30300103,1,6,8002765,8005955,8001555
30300104,3,1,8002355,8007263,9005583
30300108,117,2,8002736,8002737,9003074
30300118,71-1,4,8001810,8006000,9002327
30300119,71-2,4,9002327,8002327,9002665
30300127,212,2,9005978,8001578,8001027
30300128,1001,3,8005504,8007268,8007055
30300129,1002,3,8002736,8002737,8007354
30300130,608,2,8001956,9003105,8002451
30300131,203,2,8002355,8007263,8002089
30300137,20,4,8005621,8005621,8007441
30300141,66,4,8001803,8007172,8007415
30300144,622,2,8001803,8007172,8001936
30300145,912,2,8002736,8002737,8002070
69690109,43,9,8001956,8003105,8007108
69690110,45,9,8001079,8001289,8007119
69690111,47,9,8001079,8001289,8005095
69690112,48,9,8002737,8002736,8007125
69690113,100,2,8007118,8007113,8007108
69690115,300,2,8007125,9007125,8007135
69690116,2002,9,8005621,8005621,8005188
71000303,407,8,4017550,4017550,8002129
93000039,655,7,8007093,8007092,8005516
93000077,990,7,8001680,8001681,8007055
93000169,1000,7,8001680,8001681,3064223
93000179,1004,7,8001680,8001681,3017023
93000205,661,7,3055059,3055058,8001782
93000211,691,7,3055059,3055058,8001782
93000283,1005,7,8001680,8001681,3064156
