30300001,1,5,8002736,8002737
30300002,2,1,8001783,8001782
30300003,3,5,8005970,8005970
30300004,5,5,8001783,8001783
30300005,11,4,8002077,9002077
30300006,21,4,8001956,8003105
30300010,25,4,8001956,8003105
30300011,26,4,8001956,8003105
30300036,101,2,8002170,8070035
30300037,102,2,8002077,9002077
30300038,103,2,8002077,9002077
30300039,104,2,8002077,9002077
30300040,105,2,8002736,8002737
30300041,106,2,8001641,9001641
30300042,107,2,8005621,8001413
30300043,108,2,8002737,8002736
30300045,113,2,8001956,8003105
30300046,114,2,8002355,8007263
30300047,115,2,8007040,8007157
30300048,116,2,8002170,8070035
30300049,119,2,8002170,8070035
30300050,121,2,8002765,8002769
30300051,201,2,8002355,8007263
30300052,202,2,9005548,8002040
30300053,211,2,9005978,8001578
30300054,301,2,8001783,8001783
30300055,311,2,8007174,9007174
30300056,312,2,8001641,9001641
30300057,313,2,8001545,8001880
30300058,314,2,8007040,8007041
30300059,315,2,8007040,8007041
30300060,316,2,8001455,8003108
30300061,317,2,8005621,8003054
30300062,318,2,8007040,8007041
30300063,501,2,8001803,8001801
30300064,511,2,8003109,8005538
30300065,512,2,8001455,8003108
30300066,513,2,8003109,8005538
30300067,514,2,8003109,8005538
30300068,601,2,8001803,8001801
30300069,602,2,8001803,8001801
30300070,603,2,8001641,9001641
30300071,604,2,8001545,8007173
30300072,605,2,8005988,8005989
30300073,606,2,8001545,8007173
30300074,607,2,8001803,8007172
30300075,611,2,8007174,9007174
30300076,612,2,8001545,8007173
30300077,613,2,8001803,8001801
30300078,614,2,8001455,8003108
30300079,615,2,8001455,8003108
30300080,616,2,8005621,8003054
30300081,617,2,8001803,8001801
30300082,618,2,8001545,8007173
30300083,619,2,8001545,8007173
30300084,620,2,8003109,8005538
30300086,701,2,8002765,8005955
30300087,703,2,8005503,9005503
30300088,704,2,8002355,8007263
30300089,705,2,8005503,9005503
30300090,706,2,9001455,8002465
30300091,711,2,8005503,9005503
30300092,712,2,8002765,8002769
30300093,802,2,8001783,9001783
30300094,911,2,8002736,8002737
30300095,916,2,8001956,8003105
30300096,918,2,8002765,8002765
30300097,33,4,8005621,8005621
30300099,73,4,8001223,8001337
30300100,1,1,8002355,8007263
30300101,216,2,8002355,8007263
30300103,1,6,8002765,8005955
30300104,3,1,8002355,8007263
30300108,117,2,8002736,8002737
30300118,71-1,4,8001810,8006000
30300119,71-2,4,9002327,8002327
30300127,212,2,9005978,8001578
30300128,1001,3,8005504,8007268
30300129,1002,3,8002736,8002737
30300130,608,2,8001956,9003105
30300131,203,2,8002355,8007263
30300137,20,4,8005621,8005621
30300141,66,4,8001803,8007172
30300144,622,2,8001803,8007172
30300145,912,2,8002736,8002737
69690109,43,9,8001956,8003105
69690110,45,9,8001079,8001289
69690111,47,9,8001079,8001289
69690112,48,9,8002737,8002736
69690113,100,2,8007118,8007113
69690115,300,2,8007125,9007125
69690116,2002,9,8005621,8005621
71000303,407,8,4017550,4017550
93000039,655,7,8007093,8007092
93000077,990,7,8001680,8001681
93000169,1000,7,8001680,8001681
93000179,1004,7,8001680,8001681
93000205,661,7,3055059,3055058
93000211,691,7,3055059,3055058
93000283,1005,7,8001680,8001681
